"article_cond","SID","item","n","comment"
"social","s257","12",NA,NA
"social","s257","9",NA,NA
"social","s258","10",NA,NA
"social","s258","11",NA,NA
"social","s258","12",NA,NA
"social","s258","9",NA,NA
"social","s259","5",NA,NA
"social","s259","6",NA,NA
"social","s259","7",NA,NA
"social","s259","8",NA,NA
"social","s260","5",NA,NA
"social","s260","6",NA,NA
"social","s260","7",NA,NA
"social","s260","8",NA,NA
"social","s261","5",NA,NA
"social","s261","6",NA,NA
"social","s261","7",NA,NA
"social","s261","8",NA,NA
"social","s262","10",NA,NA
"social","s262","11",NA,NA
"social","s262","12",NA,NA
"social","s262","9",NA,NA
"social","s263","5",NA,NA
"social","s263","6",NA,NA
"social","s263","7",NA,NA
"social","s263","8",NA,NA
"social","s264","10",NA,NA
"social","s264","11",NA,NA
"social","s264","12",NA,NA
"social","s264","9",NA,NA
"social","s265","10",NA,NA
"social","s265","11",NA,NA
"social","s265","12",NA,NA
"social","s265","9",NA,NA
"social","s266","1",23,"Bananas are a “superfood” and we should really consider incorporating them into our daily diet. They’re portable, easy to eat and rarely messy!"
"social","s266","2",24,"At my age, mid 50s, it is even more important eat healthy and exercise. This might be an easier way to accomplish my goals."
"social","s266","3",17,"I had no idea that this much trash is going into the oceans. Read this, it’s crazy."
"social","s266","4",20,"I read this and am surprised to learn what is happening. Do you know if this is happening to us?"
"social","s267","1",NA,NA
"social","s267","2",NA,NA
"social","s267","3",NA,NA
"social","s267","4",NA,NA
"social","s268","10",NA,NA
"social","s268","11",NA,NA
"social","s268","12",NA,NA
"social","s268","9",NA,NA
"social","s269","1",14,"I know people that cannot afford to pay more for meat at the supermarket."
"social","s269","2",11,"I know people that are wasteful with the food they make"
"social","s269","3",16,"This will help lower the price of gas at the pump for many people I know."
"social","s269","4",5,"Antioxidant supplements don't help soreness."
"social","s270","10",NA,NA
"social","s270","11",NA,NA
"social","s270","12",NA,NA
"social","s270","9",NA,NA
"social","s271","1",NA,NA
"social","s271","2",NA,NA
"social","s271","3",NA,NA
"social","s271","4",NA,NA
"social","s272","10",7,"They may be concerned with climate change."
"social","s272","11",7,"People may want to live healthier lives."
"social","s272","12",4,"I know pregnant people."
"social","s272","9",6,"My friends are reaching middle-age."
"social","s273","1",NA,NA
"social","s273","2",NA,NA
"social","s273","3",NA,NA
"social","s273","4",NA,NA
"social","s274","1",NA,NA
"social","s274","2",NA,NA
"social","s274","3",NA,NA
"social","s274","4",NA,NA
"social","s275","1",NA,NA
"social","s275","2",NA,NA
"social","s275","3",NA,NA
"social","s275","4",NA,NA
"social","s276","5",NA,NA
"social","s276","6",NA,NA
"social","s276","7",NA,NA
"social","s276","8",NA,NA
"social","s277","5",13,"This matters to people I know because I know people who go cycling."
"social","s277","6",19,"This matters to people I know because I know people who may want to use this technique when exercising."
"social","s277","7",20,"People I know would care about this because they would want to know how to use exercise to stay healthy."
"social","s277","8",14,"People I know would care about this because the economy will impact their lives."
"social","s278","5",NA,NA
"social","s278","6",NA,NA
"social","s278","7",NA,NA
"social","s278","8",NA,NA
"social","s279","5",15,"Let's all make sure our air conditioners are working and we're ready for climate change."
"social","s279","6",16,"Friends, we all want to eat healthy. It's best to be in the know with G.M.O.s."
"social","s279","7",16,"We all know fossil fuels aren't infinite, so this is something that matters to us all."
"social","s279","8",22,"As you all know, global warming affects us all. We all want our voices heard, so let's do it in the midterms."
"social","s280","10",NA,NA
"social","s280","11",NA,NA
"social","s280","12",NA,NA
"social","s280","9",NA,NA
"social","s281","5",NA,NA
"social","s281","6",NA,NA
"social","s281","7",NA,NA
"social","s281","8",NA,NA
"social","s282","1",23,"This article matters to people I know because I have older family members who have heart issues and high cholesterol and blood pressure."
"social","s282","2",19,"This article matters to people I know because everyone's carbon footprint affects the earth regardless of who you are."
"social","s282","3",17,"This matters to people I know because I have older family members who have mild hearing loss."
"social","s282","4",13,"This article matters to people I know because this will affect all people"
"social","s283","1",12,"I know people who own SUVs and also care about the environment."
"social","s283","2",10,"Environmental changes affect everyone and this is also world news."
"social","s283","3",18,"Most people want to avoid dementia and most of the people I know are in their late 20s."
"social","s283","4",11,"Everyone should care and be involved in politics and environmental protections."
"social","s284","1",NA,NA
"social","s284","2",NA,NA
"social","s284","3",NA,NA
"social","s284","4",NA,NA
"social","s285","1",NA,NA
"social","s285","2",NA,NA
"social","s285","3",NA,NA
"social","s285","4",NA,NA
"social","s286","5",NA,NA
"social","s286","6",NA,NA
"social","s286","7",NA,NA
"social","s286","8",NA,NA
"social","s287","1",NA,NA
"social","s287","2",NA,NA
"social","s287","3",NA,NA
"social","s287","4",NA,NA
"social","s288","10",NA,NA
"social","s288","11",NA,NA
"social","s288","12",NA,NA
"social","s288","9",NA,NA
"social","s289","1",NA,NA
"social","s289","2",NA,NA
"social","s289","3",NA,NA
"social","s289","4",NA,NA
"social","s290","10",NA,NA
"social","s290","11",NA,NA
"social","s290","12",NA,NA
"social","s290","9",NA,NA
"social","s291","5",NA,NA
"social","s291","6",NA,NA
"social","s291","7",NA,NA
"social","s291","8",NA,NA
"social","s292","5",39,"My neighbors never recycle, and they always put their recyclable materials in the trash. It used to bother me, but they might as well keep putting it in the trash if it all ends up in the trash anyway."
"social","s292","6",14,"My family members could be healthier for longer if they did exercise like cycling."
"social","s292","7",11,"My sister will be so upset since she works with wildlife."
"social","s292","8",22,"So many of my friends struggle to lose weight and feel hopeless about it. I will have to share this with them."
"social","s293","1",33,"I have family and friends who are living in dangerous parts of the U.S. They need to be aware and keep on top of what's happening and why with the weather near them."
"social","s293","2",24,"I have a couple of family members who are looking for new cars -- SUVs especially. I will have to share this info with them."
"social","s293","3",33,"This matters to everyone I know and everyone I don't know. We're all in this together so we all need to stay up to date in what our government is doing about this."
"social","s293","4",37,"After 2 years of living through COVID and all the lifestyle changes it brought, it's time to get ourselves back on track. We've made it through COVID, we have to start improving the rest of our bodies."
"social","s294","5",NA,NA
"social","s294","6",NA,NA
"social","s294","7",NA,NA
"social","s294","8",NA,NA
"social","s295","1",8,"Your weight matters! Weight may contribute to cancer"
"social","s295","2",12,"Once again, it's because of climate change. Higher water levels creating floods."
"social","s295","3",10,"Breast cancer care and prevention. Information we all must know"
"social","s295","4",16,"I'm not sure I believe that gut bacteria can make people run faster. How about you?"
"social","s296","10",NA,NA
"social","s296","11",NA,NA
"social","s296","12",NA,NA
"social","s296","9",NA,NA
"social","s297","5",NA,NA
"social","s297","6",NA,NA
"social","s297","7",NA,NA
"social","s297","8",NA,NA
"social","s298","5",NA,NA
"social","s298","6",NA,NA
"social","s298","7",NA,NA
"social","s298","8",NA,NA
"social","s299","1",11,"I do not believe this article matters to anyone I know."
"social","s299","2",18,"Would be a concern to some friends that live in Florida, which catches my interest on the topic"
"social","s299","3",26,"Do know some family and friends that are overweight. I know one person is on fine line with getting diabetes and loosing weight is a necessity."
"social","s299","4",10,"This article does not matter to anyone that I know."
"social","s300","10",18,"I'm friends with many women and have women in my family that may want to know this information."
"social","s300","11",14,"My friends and family would want to know to encourage them for weight loss."
"social","s300","12",8,"It would give them information and safety tips."
"social","s300","9",9,"It may encourage them to buy insurance against disasters."
"social","s301","5",NA,NA
"social","s301","6",NA,NA
"social","s301","7",NA,NA
"social","s301","8",NA,NA
"social","s302","5",17,"Some people I know won't believe this because I am in an area that questions climate change."
"social","s302","6",20,"this matters to people where I am because they are likely to believe the dubious reports and deny climate change."
"social","s302","7",10,"This matters because we have fires in my area too."
"social","s302","8",17,"This matters to people I know who have kids or grandkids and want them to be healthy."
"social","s303","5",NA,NA
"social","s303","6",NA,NA
"social","s303","7",NA,NA
"social","s303","8",NA,NA
"social","s304","10",NA,NA
"social","s304","11",NA,NA
"social","s304","12",NA,NA
"social","s304","9",NA,NA
"social","s305","1",NA,NA
"social","s305","2",NA,NA
"social","s305","3",NA,NA
"social","s305","4",NA,NA
"social","s306","10",NA,NA
"social","s306","11",NA,NA
"social","s306","12",NA,NA
"social","s306","9",NA,NA
"social","s307","10",NA,NA
"social","s307","11",NA,NA
"social","s307","12",NA,NA
"social","s307","9",NA,NA
"social","s308","5",NA,NA
"social","s308","6",NA,NA
"social","s308","7",NA,NA
"social","s308","8",NA,NA
"social","s309","1",NA,NA
"social","s309","2",NA,NA
"social","s309","3",NA,NA
"social","s309","4",NA,NA
"social","s310","10",12,"This matters to my friends who are very interested in Greta's journey."
"social","s310","11",12,"This article would be interesting to those who have had kidney stones."
